item_name,item_quantity,item_location
3D Printer - Bambu Lab P1S,1,Maker's space
Adafruit Powerboost 1000c,1,Components Cabinet
10.1 inch LCD display,1,Components Cabinet
Ultrasonic sensors,8,Components Cabinet
Jumper wires,multiple,Components Cabinet
Stripboard 3x2,12,Components Cabinet
Wires,1 metre,Components Cabinet
 Assorted Resistors ,200 pcs,Components Cabinet
LDR,30 pcs,Components Cabinet
Lithium battery 18650,2 pcs,Components Cabinet
Lithium battery 18650 holder case,2 pcs,Components Cabinet
Spdt Slide switch,50 pcs,Components Cabinet
Fan 5V,1 pc ,Components Cabinet
Buck Converter module,1 pc,Components Cabinet
5V 2A Lithium Battery Charge,1 pc,Components Cabinet
Wireless RF remote control switch module,2 pc,Components Cabinet
USB to Type C converter,1 pc,Components Cabinet
TP4056 Lithium battery charging module,2 pc,Components Cabinet
KP 043450P 1000 mAH,2 pc,Components Cabinet
MPU 6050,2 pc,Components Cabinet
Digispark Kickstarter ATtiny85 USB deve board,1pc,Components Cabinet
Micro USB to Type C,1pc,Components Cabinet
APDS 9930,2 pc,Components Cabinet
FT232RL USB to TTL Serial Adapter module,3 pc,Components Cabinet
Atmel ATmega328p -PU 8-bit microcontroller,1 pc,Components Cabinet
ESP8266 wifi module,6 pc,Components Cabinet
SG 90 Servo,24 pc,Components Cabinet
Sound sensor,2 pc,Components Cabinet
PIR,3 pc,Components Cabinet
Realtime Clock,2 pc,Components Cabinet
Accelerometer 3 axis,2 pc,Components Cabinet
LED,few,Components Cabinet
Buzzer,14 pc,Components Cabinet
Light sensor,2 pc,Components Cabinet
Potentiometer,8 pc,Components Cabinet
MCP3008 10-bit Analog-to-Digital Convertor,1 pc,Components Cabinet
IR sensor,4 pc,Components Cabinet
GSM Module/ GPS,2 pc,Components Cabinet
Raspberry Pi PICO,3 pc,Components Cabinet
GPS Sensor,4 pc,Components Cabinet
Gas Sensor,12 pc,Components Cabinet
Antenna,1 pc,Components Cabinet
LoRaWAN deve board,1 pc,Components Cabinet
Weight Sensor,1 pc,Components Cabinet
Single Channel Relax,1 pc,Components Cabinet
Ardunio Camera Module,2 pc,Components Cabinet
Bluetooth module ,4 pc,Components Cabinet
L293D motor driver,2 pc,Components Cabinet
AZ-Delivery RFID kit,2 pc,Components Cabinet
Push Button,1 pc,Components Cabinet
Touch Sensor,3 pc,Components Cabinet
Arduino Uno ,4 pc,Components Cabinet
Uno NANO Mega,2 pc,Components Cabinet
DC motors,8 pc,Components Cabinet
Stepper board,2 pc,Components Cabinet
Breakout Board and Motor Driver Board,4 pc,Components Cabinet
Ethernet Shield Arduino,2 pc,Components Cabinet
Temperature Sensor,5 pc,Components Cabinet
Magnetic Reed Switch module,1 pc,Components Cabinet
BH  1750,1 pc,Components Cabinet
BMP 180,1 pc,Components Cabinet
Vibration Switch ,3 pc,Components Cabinet
XBee USB Adapter Board ,2 pc,Components Cabinet
Digi XBee 3 Zigbee 3 RF module,2 pc,Components Cabinet
Fingerprint module,1 pc,Components Cabinet
Pressure Sensor,1 pc,Components Cabinet
Pulse sensor,1 pc,Components Cabinet
JoyStick,2 pc,Components Cabinet
Hall Sensor,2 pc,Components Cabinet
IR remote,2 pc,Components Cabinet
ESP32,2 pc,Components Cabinet
Mini breadboard,1 pc,Components Cabinet
Half breadboard ,5 pc,Components Cabinet
Node MCU,9 pc,Components Cabinet
LCD display,5 pc,Components Cabinet
Mini LCD,1 pc,Components Cabinet
Relay module 4,3 pc,Components Cabinet
Relay module 2,3 pc,Components Cabinet
Relay module 1,3 pc,Components Cabinet
Breadboard,10 pc,Components Cabinet
Clear Plastic,1 packet,Components Cabinet
USB Adapter brick ,2 pcs,Components Cabinet
Compact Charger B3 pro,1,Components Cabinet
Raspberry Pi Power supply 27W usb C,1,Components Cabinet
VGA to HDMI converter,2,Components Cabinet
Micro USB Charger,1,Components Cabinet
HDMI to Micro USB,3,Components Cabinet
VGA to AUX,2,Components Cabinet
DC Fan,4,Components Cabinet
Raspberry Pi 5,3,Components Cabinet
Raspberry Pi 4B,1,Components Cabinet
Intel neural compute stick 2,9,Components Cabinet
BBC Micro-bit ,1,Components Cabinet
Raspberry Pi case,3,Components Cabinet
Coral USB Accelorator ,1,Components Cabinet
Nvidia Jetson Nano Dev Kit,1,Components Cabinet
Raspberry Pi 3,1,Components Cabinet
Raspberry Pi 4 ,1,Components Cabinet
Dual Raspberry Pi case,1,Components Cabinet
VSDSqaurdron Mini,1,Components Cabinet
Jumper wires,Multiple,Tools Cabinet
Half bread board box,13,Tools Cabinet
Transistors,Few,Tools Cabinet
switch buttons,Multiple,Tools Cabinet
RGBWY Leds,multiple,Tools Cabinet
STM32 NUCLEO F303RE,10,Tools Cabinet
STM32 NUCLEO F410RB,3,Tools Cabinet
HDMI Cable,3,Tools Cabinet
VGA Cable,2,Tools Cabinet
Power cable,1,Tools Cabinet
HDMI to MicroUSB,1,Tools Cabinet
USB to type C,1,Tools Cabinet
Ethernet cable,2,Tools Cabinet
Raspberry pi 5,1,Tools Cabinet
Mouse ,1,Tools Cabinet
Keyboard,1,Tools Cabinet
FPGA DE-10 Standard,3,Tools Cabinet
Mother board 256MB Ram,1,Snap-on Chest (red in color)
Jumper Wires,few,Snap-on Chest (red in color)
Multimeters,7,Snap-on Chest (red in color)
Arduino Uno ,2,3D - Printed Cabinet
Keyboard,1,3D - Printed Cabinet
USB to USB,2,3D - Printed Cabinet
USB to USB male,2,3D - Printed Cabinet
USB to Micro USB,1,3D - Printed Cabinet
VGA cable,1,3D - Printed Cabinet
L298N Motor Driver Module,1,3D - Printed Cabinet
DHT11 Temperature Sensor,2,3D - Printed Cabinet
Power Cable,1,3D - Printed Cabinet
Serplex® for 3D Printer Filament Storage Bags with Manual Air Pump & 4 Sealing Clips 30x34cm Reusable Vacuum Storage Bag for PLA ABS PETG Filaments Anti-Moisture Vacuum Filament Storage Bag,10Pcs ,3D - Printed Cabinet
"Serplex® 3D Printer Tool Kit with Storage Bag, Includes Scrapers, Tweezers, Pliers, Brushes, Nozzle Cleaning Tools, Wrenches &More, 3D Printer Repair Maintenance Kit",1,3D - Printed Cabinet
3D printer Filament 250gms LIGHT GREEN,1 pcs,3D - Printed Cabinet
3D printer Filament 250gms ORANGE,1 pcs,3D - Printed Cabinet
3D printer Filament 250gms WHITE,1 pcs,3D - Printed Cabinet
3D printer Filament 1KG FOREST GREEN,1 pcs,3D - Printed Cabinet
3D printer Filament 1KG MIDNIGHT BLACK,1 pcs,3D - Printed Cabinet
"Raspberry Pi 5 (4GB variant), R-Pi Cam kit",1,Thinkqbator IoT Kit Inventory
Edgehax 4G Module,1,Thinkqbator IoT Kit Inventory
Water pump,1,Thinkqbator IoT Kit Inventory
Water Flow rate sensor,1,Thinkqbator IoT Kit Inventory
Edgehax sensor dock,1,Thinkqbator IoT Kit Inventory
Active buzzer,1,Thinkqbator IoT Kit Inventory
ULN2003AN motor driver module,8 (2 packs of 4),Motors & Motor drivers
8833C motor driver modules,7,Motors & Motor drivers
L293 Motor driver,1,Motors & Motor drivers
5V Stepper motors (28BYJ-48),9,Motors & Motor drivers
5v DC motors,3,Motors & Motor drivers
SG90 Servo motor,1,Motors & Motor drivers
IR LED sensor,1,Sensors
DHT11 humidity sensor,1,Sensors
MQ-2 Gas sensor,1,Sensors
Relay module,1,Sensors
Light detector/ LDR module,1,Sensors
Soil moisture level sensor,2,Sensors
Moisture sensor,1,Sensors
"RGB LED, ARGB LED","1 pack of 20, Pack of 3","LEDs & Resistors, Breadboard, Jumper cables, misc"
Push button set,1,"LEDs & Resistors, Breadboard, Jumper cables, misc"
Resistor set,1,"LEDs & Resistors, Breadboard, Jumper cables, misc"
Breadboard,1,"LEDs & Resistors, Breadboard, Jumper cables, misc"
"Jumper cables (M-M, M-F, F-F)",1 set of 40 cables each,"LEDs & Resistors, Breadboard, Jumper cables, misc"
Tyres for Rover,4,"LEDs & Resistors, Breadboard, Jumper cables, misc"
